,,can step,can step,confidence,confidence,rt,rt
,,mean,sem,mean,sem,mean,sem
angle,perception,,,,,,
12,haptic,100.0,0.0,6.666666666666667,0.23853192068847331,5.200869333333333,0.5646398001537272
12,visual,100.0,0.0,6.962962962962963,0.03703703703703866,2.511550888888889,0.2160544413735514
17,haptic,92.5925925925926,5.1361129280113795,6.333333333333333,0.2579909163829699,5.666072222222222,0.7504699756149451
17,visual,92.5925925925926,5.1361129280113795,6.037037037037037,0.3353846347458302,3.280588074074074,0.3775096160282626
22,haptic,85.18518518518519,6.966962541673781,5.083333333333333,0.37177671803516765,6.48397625925926,0.6788256336946594
22,visual,88.88888888888889,6.163335513613659,5.037037037037037,0.3829763535933101,4.0197004814814825,0.4344150356162111
27,haptic,51.85185185185185,9.799078929868854,4.416666666666667,0.34481046471274035,6.662086592592591,0.5217801705506762
27,visual,40.74074074074074,9.636202008710976,4.888888888888889,0.3593811289167288,4.064342814814815,0.3149988656494886
33,haptic,37.03703703703704,9.470524295495533,5.375,0.3580790581928299,5.614021518518518,0.4593953134329155
33,visual,22.22222222222222,8.153326507837141,5.555555555555555,0.25224537715168716,3.2675562962962963,0.27009586657648643
39,haptic,7.4074074074074066,5.13611292801138,6.375,0.23269408639282177,4.576901666666666,0.5025237833140004
39,visual,0.0,0.0,6.407407407407407,0.18688676934522178,3.2723370740740734,0.23666385130188902
45,haptic,7.4074074074074066,5.13611292801138,6.583333333333333,0.20395972785105815,4.9970648888888896,0.9703031488378019
45,visual,0.0,0.0,6.925925925925926,0.07407407407407512,2.554070037037037,0.20193738839852793
